,,,,,CPX,,,,OC,,,,,,CL,,,,,,GS,,,,,,OCG,,,,,,,
instance,k/|V|,weight,|V|,|E|,T,EG,#N,GI,T,EG,#N,GI,#C,ST,T,EG,#N,GI,#C,ST,T,EG,#N,GI,#C,ST,T,EG,#N,GI,#C(OC),#C(CL),#C(GS),ST
191,20%,unit,4579,8378,2.1,NA,1,100.0,2.5,NA,1,100.0,35,0,2.7,NA,1,100.0,3,0,2.1,NA,1,100.0,0,0,2.6,NA,1,100.0,35,3,0,0
193,20%,unit,7030,12920,5.0,NA,1,100.0,5.2,NA,1,100.0,4,<0.1,5.2,NA,1,100.0,4,<0.1,5.0,NA,1,100.0,0,0,5.6,NA,1,100.0,4,4,0,<0.1
195,20%,unit,1150,81068,3591.1,7.5,184,37.0,3591.4,7.9,7,41.6,10568,<0.1,3591.5,6.1,1,41.5,8029,0.3,3591.5,6.7,23,37.2,9393,12.7,3591.6,6.9,1,42.5,10568,5642,922,0.8
197,20%,unit,1534,127011,3591.6,7.5,11,42.2,3591.6,7.9,1,43.5,10026,<0.1,3591.6,5.2,1,41.5,8532,0.2,3590.3,6.3,1,42.7,3886,5.0,3591.6,8.2,1,40.0,10026,5925,612,0.8
199,20%,unit,1534,126163,3591.6,5.1,1,43.1,3591.3,8.2,1,43.2,10002,<0.1,3587.6,6.9,1,39.6,8532,0.2,3591.6,6.5,1,30.7,13745,26.5,3591.2,9.5,1,36.9,10002,4977,1224,1.2
1,30%,unit,6160,40207,3435.6,<0.1,228021,93.8,3457.0,<0.1,187847,97.3,5712,0.9,8.7,NA,1,100.0,368,0.1,3396.5,<0.1,212042,93.8,0,0.7,11.7,NA,1,100.0,2590,292,0,0.2
3,30%,unit,60541,48418,11.9,NA,1,100.0,11.7,NA,1,100.0,0,0,18.7,NA,1,100.0,0,0,12.0,NA,1,100.0,0,0,18.9,NA,1,100.0,0,0,0,0
5,30%,unit,200,798,0.6,NA,5,87.6,0.2,NA,1,100.0,160,<0.1,0.2,NA,1,100.0,72,0,0.6,NA,5,87.6,112,<0.1,0.3,NA,1,100.0,155,67,112,<0.1
7,30%,unit,8794,10121,2.4,NA,1,100.0,1.7,NA,1,100.0,40,<0.1,2.8,NA,1,100.0,22,0,2.4,NA,1,100.0,0,0,2.0,NA,1,100.0,40,22,0,0
9,30%,unit,38452,174645,3566.5,0.6,577,85.0,3533.2,0.6,1155,85.9,12000,<0.1,1763.2,NA,341,100.0,3963,0.8,3538.1,0.6,1554,85.0,0,0,1462.5,NA,201,100.0,12000,4015,0,1.2
